product_name,product_price,number_of_reviews,product_category,product_source
"1300rpm,28N/M 12V 2PCS batteries CORDLESS ELECTRIC DRILL  IMPACT DRILL with full set of tools","KSh 3,999",(111),home-kitchen,Fulfilled By Kilimall
"Flamethrower Flame Gun Head Gas Torch, Camping Welding Fire Maker Lighter Butane Burners BBQ Propane LPG Blowtorch Automatic Cooking","KSh 1,649",(0),home-kitchen,Local Dispatch
"SHARE THIS PRODUCT


10 Pcs Premium Velvet Hangers Ultra Thin Non-Slip","KSh 1,290",(0),home-kitchen,Local Dispatch
Portable Cordless High Pressure Spray Water Gun Cordless Car Washing Spray Gun High Pressure Car Washing Jet Spray Electric Cordless Pressure Washer for Washing Car House Garden with 2 Battery,"KSh 6,800",(0),home-kitchen,Local Dispatch
5 Meter Premium Snake Light For Decorations,KSh 657,(10),home-kitchen,Local Dispatch
"KILIMALL BLACK FRIDAY SPECIAL OFFER,Aromatherapy scented candles holders,Candles with Plant Base Premium Wax Ideal Gifts for Aromatherapy Spa Weddings Birthdays Holidays Party",KSh 826,(0),home-kitchen,Local Dispatch
Juki Industrial Juki Singer Heavy Duty Sewing Machine,"KSh 14,399",(0),home-kitchen,Local Dispatch
Non-slip coat hanger Metal clothes hanger support adult children drying rack household traceless hanger,KSh 474,(18),home-kitchen,Fulfilled By Kilimall
Universal Car Vent Cup Holder Air Outlet Clip Portable Bottled Canned Drink Water Cup Holder Auto Accessories,KSh 751,(0),home-kitchen,Oversea Shipment
"Gold Plated Coffee Mugs Set of 6, Classic Porcelain Coffee Mugs Set Large Handle Cup for Coffee, Tea, Drink, Dishwasher Safe, Easy to Clean & Hold, for Party, Home,Gift
","KSh 1,190",(6),home-kitchen,Local Dispatch
750ML  2-Layer Stainless steel vacuum thermos cup vacuum flask travel cup mug,KSh 599,(607),home-kitchen,Fulfilled By Kilimall
Moisture Dust Proof Organizer Quilt Clothes Storage Bag Big Capacity Duvet Blanket Sorting Bags,KSh 339,(121),home-kitchen,Fulfilled By Kilimall
"Automatic Pouring Kitchen Oil Jar Bottle 500ML - Glass, Easy to Clean, Elegant, Durable, Non-Drip Design",KSh 799,(7),home-kitchen,Fulfilled By Kilimall
"Kamisafe KM-7671 Rechargeable LED Emergency Lamp4 corner tubes ,AC rechargeable Rechargeable LED lighting Solar or AC rechargeable 4 tube lights with option for lighting two at a time, separately USB","KSh 1,400",(1),home-kitchen,Local Dispatch
" KNIFE. Chef Knife Kitchen Knife Ultra Sharp Cooking Knife, 7 inch Stainless Steel Cutting Knife",KSh 320,(7),home-kitchen,Local Dispatch
"Manual carpet brush mini vacuum cleaner Manual carpet brush vacuum cleaner, no electricity and no batteries meaning it can be used in any setting  Handheld brush which can be used anywhere. It is used",KSh 400,(22),home-kitchen,Local Dispatch
New Arrivals 900ML Large Capacity Water Bottle Sports Water Bottle with Time Marker Leak-proof Cup Motivational Portable Water bottle for Outdoor Sport Fitness Kitchen & Dining room appliances,KSh 549,(54),home-kitchen,Fulfilled By Kilimall
Kitchen & Dining room appliances 600ml Plastic Sports Water Bottle Cup Creative Portable Leak-proof Student one size,KSh 399,(205),home-kitchen,Fulfilled By Kilimall
Sundabests 6pcs High Quality Tea Milk Coffee Ceramic Cups Mugs(311010556),KSh 499,(37),home-kitchen,Fulfilled By Kilimall
"PRICE DROP! 6 Pcs Classic Ceramic Coffee/Tea Cups/Mugs. Ideal for enjoying tea, coffee,decaf, espresso, lattes or hot dark chocolate, soup, stew, cereals and more.Strong ceramic mugs in big value pack",KSh 889,(9),home-kitchen,Local Dispatch
6PCS/set Kitchen Food grade silicone fresh-keeping lid High temperature resistant reusable fresh-keeping lid,KSh 379,(93),home-kitchen,Fulfilled By Kilimall
 Multipurpose Rectangular Shape Bathroom Shelf/Rack/Organiser/Stand/Holder with Soap Dish and Toothbrush Holder Tumbler Wall Mounted Accessories for Home and Kitchen ,KSh 690,(11),home-kitchen,Local Dispatch
"4-Piece Bedding Set, 1 Quilt Cover + 1 Sheet + 2 Pillowcases (Not Including Duvet)","KSh 1,394",(28),home-kitchen,Fulfilled By Kilimall
1pc Geometric Patterns Prints Sofa Cover with Ruffled Skirt Full Coverage Elastic Sofa Slipcover in the Living Room High Stretch Corner Sofa Covers,"KSh 1,149",(2),home-kitchen,Fulfilled By Kilimall
"7Pcs Quality Water Set 6 Glasses With 1 Jug...This Wine Glass set features the luxurious feeling that’s set to turn heads, add beauty to your bar/ kitchen top and make the perfect Christmas, Birthday, anniversary or any special occasion gift.","KSh 1,099",(6),home-kitchen,Local Dispatch
Jaza Keja 6 Layers Shoes Rack With Dustproof Curtain Free Standing Shoes Rack Easy Assembled Shoes Storage Shelf,"KSh 1,199",(70),home-kitchen,Fulfilled By Kilimall
Heart Printing 4in1 Bedding sets & accessories  Duvet Cover （1 quilt cover +1 bed sheet +2 Pillowcase ）without duvet  And Pillow insert,"KSh 1,599",(165),home-kitchen,Fulfilled By Kilimall
UV Umbrella Protection Sun Automatic Open and Close Umbrella Three Fold 8 skeleton Thickened Black Glue Sun UV Clean Umbrella,KSh 745,(101),home-kitchen,Fulfilled By Kilimall
SXCHEN New Quilt Storage Bags Packing Bags Divine Tools Foldable Storage Box Portable Clothes Organizer Tidy Pouch Suitcase Non-Woven Home Storage Box Quilt Storage Container Bag Box Mam Girl Gift,KSh 599,(59),home-kitchen,Fulfilled By Kilimall
50Kg/110Lbs Electronic Portable LCD Digital Scale High Precision Luggage Weight Scale Balance Electronic Scale Digital Portable Hook 50Kg Weighing Scale,KSh 530,(0),home-kitchen,Local Dispatch
Redberry Set of 4 TallMax Hotpots - CAPACITIES -2000ml -3000ml -4000ml -5000ml,"KSh 4,899",(1),home-kitchen,Local Dispatch
Relaxer Chairman Chair-This sit back chair offers maximum ease and comfort to anyone who sits in the chair. It offers a luxuriant seating space and also makes the seating experience an easy one.,"KSh 1,050",(21),home-kitchen,Fulfilled By Kilimall
"1 Sets Buckle Snap Fasteners Kit Tool, Metal Snap Buttons Rings With Fastener Pliers Press Tool Kit For Clothing Sewing
",KSh 490,(0),home-kitchen,Oversea Shipment
Cotton Fitted Sheet,"KSh 1,100",(0),home-kitchen,Local Dispatch
"4*6 4 Pcs Bedsheet Sets ( 2 Pcs Bedsheet, 2 Pcs Pillowcases)Comfortable and Available in Different Designs",KSh 899,(3),home-kitchen,Local Dispatch
Rectangular Nonhair Entry Carpet Bathroom Bedroom Toilet Household Kitchen Absorbent Floor Mat doormat,KSh 499,(18),home-kitchen,Fulfilled By Kilimall
12-Hole Non-Stick Carbon Steel Cupcake Tray Bakeware Pastry Muffin Baking Oven Tray Pan,KSh 499,(12),home-kitchen,Local Dispatch
4Pcs Set Of Stainless Aluminum Sufuria WITH Lids (Goood Quality Middle Light Gauge),"KSh 1,191",(45),home-kitchen,Local Dispatch
HW 4 PCS Underwear Bra Multi Organizer Storage Box Drawer Closet Organizers Boxes,KSh 999,(189),home-kitchen,Fulfilled By Kilimall
OVERALL/ COVERALL,"KSh 1,769",(2),home-kitchen,Local Dispatch
"Glass Teapot ,stainless wire infuser,Borosilicate Glass Stove Top,BPA-Free - German Made Glass Kettle for Gas, Electric, and Glass Ranges","KSh 1,357",(0),home-kitchen,Local Dispatch
Anal Butt Plugs Stainless Smooth Steel Butt Plug Tail Anal Plug Sex Toys Crystal Jewelry Anal Dildo Adults Sex Toys,"KSh 1,409",(5),home-kitchen,Local Dispatch
Universal Power Strip Power Socket Heavy Duty Surge Protector Plug Power Socket  6 Way Outlets 3 USB PD Charging Ports USB Charger Adapter 7 Feet Long Extension Cord,"KSh 1,099",(175),home-kitchen,Fulfilled By Kilimall
"Digital Scale Electronic Market Balance Weighing Machine for Fruits,Meats,Vegetables 30,kg As Pictured one size Silver","KSh 3,999",(4),home-kitchen,Local Dispatch
"Power King 6 Way Power Extension with 13A, 3 Meter cable and with Fuse - Recommended White 6 PORTS",KSh 499,(17),home-kitchen,Local Dispatch
"2 IN 1 MARBLE NESTING TABLE WITH GLASS EFFECT - Space-Saving Design, Versatile Style, Durable, Easy Maintenance, Works as coffee tables, bedside tables, or decorative accents .","KSh 7,499",(3),home-kitchen,Local Dispatch
350ml Electric Garlic Chopper Portable Food Crusher Multifunctional Kitchen Mincer Vegetable Onion Chopper Press Blender Fruit Nut Meat Chilli Grinder Seasoning Spice Tools,KSh 699,(10),home-kitchen,Fulfilled By Kilimall
CLEARANCE OFFER heavy duty Stainless Steel fork 6pcs,KSh 499,(0),home-kitchen,Local Dispatch
"LED Desk Lamps for Home Office, Rechargeable Battery Operated Desk Lamp with Touch Control, Stepless Dimming, 3 Color Modes, Pen Holder and Night Light- Gooseneck Desk light for Study, Reading",KSh 999,(0),home-kitchen,Fulfilled By Kilimall
Pet Glove Pet Hair Remover Glove Dog Glove Cat Brush Grooming Glove Brush Deshedding Gloves Dogs Cats Bath Cleaning Animal Combs Pet Products,KSh 199,(48),home-kitchen,Fulfilled By Kilimall
SUNDABESTS 9.5L Food Flask Travel Leisure Keep Water Catering Coffee/Tea Hot Cold,"KSh 2,599",(218),home-kitchen,Fulfilled By Kilimall
1pc Jacquard Sofa Cover with Skirt Splash can be easily removed Couch Cover Protector of Bench with Armrest,"KSh 1,929",(0),home-kitchen,Fulfilled By Kilimall
Sofa Cover Couch Stylish Pattern Couch Covers for Sofa Stretch Jacquard Sofa Slipcover for Living Room Elastic Universal Furniture Protector for Most Sofa (1 Pillowcase as gift)),"KSh 1,298",(123),home-kitchen,Fulfilled By Kilimall
2-Layer  Foldable  Double-layer Portable Iron Basket Kitchen Storage Basket Storage Rack Fruit Basket,"KSh 1,099",(32),home-kitchen,Local Dispatch
Stainless Steel 12pcs Dinner Spoon Set,KSh 399,(15),home-kitchen,Local Dispatch
14Pcs Stainless Steel Flower Icing Piping Nozzles Cake Pastry Decorating Accessories Baking Tools,KSh 299,(493),home-kitchen,Fulfilled By Kilimall
Dogs Leashes With Harnesses and Collars Adjustable Dog Training Leashes Pet Traction Rope Easy Control Handle  For Large Medium Small Dogs Walking Pet Supplies,KSh 299,(27),home-kitchen,Fulfilled By Kilimall
Pit Latrine Cover ,"KSh 1,500",(0),home-kitchen,Local Dispatch
60A 80A 100A MPPT Solar Charge Controller Tool 12V 24V 36V 48V Solar Panel Battery Smart LCD Display Battery Intelligent Regulator,"KSh 5,749",(2),home-kitchen,Oversea Shipment
Stainless Steel Coffee Cup 380ML Thermos Mug Leak-Proof Thermos Travel Thermal Vacuum Flask Insulated Cup Water Bottle,KSh 698,(175),home-kitchen,Fulfilled By Kilimall
U Shaped Memory Foam Neck Pillows Soft Travel Pillow Massage Neck Pillow Sleeping Airplane Pillow Cervical Healthcare Bedding Black normal,"KSh 1,319",(0),home-kitchen,Local Dispatch
"CLEARANCE OFFER Marble Chopping Board Marble
",KSh 450,(3),home-kitchen,Local Dispatch
"2 Pairs of Premium Ultra-Thickened Cleaning Gloves  Waterproof Non-Slip and Durable for Household Restaurant Kitchen, and Laundry Use Essential Cleaning Supplies and Multipurpose Tool",KSh 359,(7),home-kitchen,Fulfilled By Kilimall
"30 LITRES Pedal Dustbin, homecare use, hospital use pedal dustbinThe lid closes smoothly and very quietly.Works great with reusable grocery bags. ","KSh 1,709",(1),home-kitchen,Local Dispatch
Solar Light New Solar Wall Light PIR Motion Sensor Outdoor Garden Security Street Lamp,KSh 670,(0),home-kitchen,Local Dispatch
Beautiful Whisky Glasses For HOT/COLD 350 ML- Set Of 6,KSh 748,(4),home-kitchen,Local Dispatch
Dishwashing Cleaning Gloves Silicone Rubber Sponge Glove Household Scrubber Kitchen Clean Tools Dropshipping Kitchen,KSh 359,(198),home-kitchen,Fulfilled By Kilimall
Measuring Tool Woodworking Aluminum Alloy Triangle Gauges Measuring Gauging Tools High Precision Marker Angle Ruler Metric and Imperial  Marking Tools,"KSh 1,519",(0),home-kitchen,Oversea Shipment
"Solar Light 40W, 60W, 100W Solar Outdoor Lights Waterproof Bright SOLAR FLOODLIGHT","KSh 3,300",(2),home-kitchen,Local Dispatch
Sanitary Pad Pouches bag -More Durable & Neat.light & convenient to carry around Durable quality Easy to maintain Made for your convenience,KSh 498,(6),home-kitchen,Local Dispatch
"Dog Potty Training Spray Cats, Pet Defecation Inducer,  Pet Toilet Location Sprayer, Puppy Aid Training Spray for Indoor & Outdoor Use",KSh 657,(1),home-kitchen,Local Dispatch
"【FREE GIFT 】 Hommy Plastic Wardrobe Large Capacity Assemble Organizer Closet plastic wardrobe SOLID PLASTIC WARDROBE, PORTABLE","KSh 4,879",(253),home-kitchen,Local Dispatch
Decorative flowers &ceramic vase Reed diffuser  with 50ml long lasting  essential oil ,KSh 845,(0),home-kitchen,Local Dispatch
Christmas decoration lights (white or multi colour) 10 metres,KSh 499,(2),home-kitchen,Local Dispatch
Digital Multimeter AC/DC Transistor Tester Electrical NCV  Meter Profesional Analog Auto Range A/V accessaries & Cables,KSh 999,(103),home-kitchen,Fulfilled By Kilimall
Bathroom Door Absorbent Toilet Imitation Cashmere Door Mat Toilet Door Non-Slip Bedroom Mat Doormats,KSh 499,(19),home-kitchen,Fulfilled By Kilimall
French Press Coffee Double Wall Stainless Steel Mirror French Press - 800Ml,"KSh 3,499",(0),home-kitchen,Local Dispatch
Anti collison headboard 3D self adhesive wall sticker,KSh 650,(2),home-kitchen,Local Dispatch
2pcs Plush Christmas Santa Hat Santa Hat Christmas Cap Plush Santa Christmas Hat For Holiday Santa Hats Adult,KSh 599,(0),home-kitchen,Local Dispatch
"Knife Sharpener For Kitchen Knives, Scissors, Peelers.Attractive & Light Weight
3 Sharpening Modes, Coarse and Fine
Tungsten Carbide Blades and Ceramic Rods
Manual, Can Be Used Left or Right Handed
De",KSh 460,(3),home-kitchen,Local Dispatch
Heavy Duty Stainless Steel Kitchen Scissors Poultry Shears For Bone Chicken Fish Food Scissors,KSh 599,(1),home-kitchen,Local Dispatch
"3 In 1 Air Travel Kit Combo - Pillow, Ear Buds & Eye Mask (Inflatable Neck Cushion - Flannelette, Ear Buds - Cotton Foam, Eye Mask - Polyester) (3 in 1 pillow for traveling.)",KSh 899,(0),home-kitchen,Local Dispatch
Jaza Keja 105cm Wide 3 Columns Simple Clothes Storage Wardrobe Dustproof Cover Storage Closet Durable Clothes Storage Rack Organizer,"KSh 2,299",(177),home-kitchen,Fulfilled By Kilimall
5pcs Self Adhesive Foam Wallpaper DIY 3D Wall Panel 70*77 Living Room Brick Stickers Bedroom Kids Room Brick Papers Home Wall Decor,"KSh 1,399",(4),home-kitchen,Fulfilled By Kilimall
6 PCS Home Deco Fluffy Plush Throw Pillow Case Cushion Covers - 18'' x 18'' ( PER PIECE),"KSh 1,226",(4),home-kitchen,Local Dispatch
"Self-Wringing Twist Mops for Floor Cleaning, Microfiber Floor mop with 57 "" Long Handle, Easy Wringing Mop for Hardwood Commercial Household Clean self-squeezin","KSh 1,459",(1),home-kitchen,Local Dispatch
High Precision Multifunctional Infrared Laser Levels Optical Instruments Renovation Measurement and Construction Tools,"KSh 1,249",(0),home-kitchen,Oversea Shipment
#UPGRADE YOUR CLOTHNGS WITH*Foldable/Portable Clothes Drying And Hanging Rack(Assembled),"KSh 2,200",(0),home-kitchen,Local Dispatch
New 16 Color Night Light Rotating Water Pattern Night Light Creative Bedside Flame Atmosphere Light Dynamic Usb Desk Lamp,KSh 999,(2),home-kitchen,Local Dispatch
🎈🎈FROSTY FINDS AND MERRY DEALS🎉🎉Balloons Party Christmas Theme Latex Baloon Garland Decoration Christmas Ballon. Initially installed with decorative features of Christmas characters such as Santa.,KSh 810,(0),home-kitchen,Local Dispatch
"UPHUI 6PCS Rotating wall adhesive hook suitable for hanging doors, kitchen bathroom hooks, 6 rotatable arm circular adhesive hooks, green",KSh 89,(14),home-kitchen,Fulfilled By Kilimall
"Reusable Freezer Bags, Large Reusable Ziploc Bags Silicone Airtight & Leakproof, 100% Food Grade Reusable Silicone Food Storage Bags, Silicone Snack Bags for Travel & Camping",KSh 169,(3),home-kitchen,Fulfilled By Kilimall
Original Cordless Drill 26V Makita Accessories,"KSh 5,225",(0),home-kitchen,Local Dispatch
New DT580 Battery Butchery weighing scale with LCD display Price computing weighing machine,"KSh 2,500",(1),home-kitchen,Local Dispatch
CLEARANCE OFFER Granite Marble Chopping Board Marble,KSh 499,(4),home-kitchen,Local Dispatch
Rok Sumo Heavy Duty Plastic Pegs,KSh 299,(1),home-kitchen,Local Dispatch
Cartoon Charging Desk Lamp Study USB Led eye protection desk lamp creative dormitory student desk lamp small gift,KSh 699,(23),home-kitchen,Fulfilled By Kilimall
"Fake Security Camera, Simulation Dummy Hemisphere Dome Camera Indoor/Outdoor Waterproof with Flashing Red LED Light for Home Business",KSh 474,(4),home-kitchen,Fulfilled By Kilimall
6-piece Travel Kit Sorting Set Storage Bag Travel Clothing Shoes Toiletries Storage Bag,KSh 699,(95),home-kitchen,Fulfilled By Kilimall
24 Pcs Silverware Set Service For 6【Promotion】HOMART KF-S Premium Stainless Steel Flatware Set（Including 6 knives / 6 forks / 6 spoons / 6 teaspoons）Highly mirror polished,"KSh 1,799",(23),home-kitchen,Fulfilled By Kilimall
"20pcs Shiny Gold Ball Ornaments, Shatterproof Plastic Christmas Decorations,",KSh 870,(0),home-kitchen,Local Dispatch
Enerbras Instant Hot Water Shower Head BIGGER SHOWER AREA,"KSh 2,199",(2),home-kitchen,Local Dispatch
"16/40PCS Carpet Non-slip Sticker Reusable Washable Anti Curling Carpet Patch Fixed Stickers Floor Rug Mat Tape Gripper Corner Pad 
﻿",KSh 599,(0),home-kitchen,Oversea Shipment
"[CLEARANCE SALE] Super comfortable fiber filled bed pillows 2pcs, super comfortable, balanced support for all sleeping positions",KSh 549,(9),home-kitchen,Local Dispatch
JOTO HOME 3M Double Pole Curtain Rod Adjustable Double curtain rods 3M double durable Treatment Window Curtain Rod Heavy Duty Drapery Rods with Brackets,"KSh 1,749",(23),home-kitchen,Fulfilled By Kilimall
Nice One 2L / 3L Stainless Steel Vacuum Jug Coffee Pot Vacuum Flask Thermos (VFS-024 STAINLESS STEEL VACUUM FLASK ),"KSh 1,199",(22),home-kitchen,Fulfilled By Kilimall
"Remote controlled Wireless chime door bell, Doorbell Alarm Chime, Household Digital Music Remote Control Door Bell
",KSh 949,(1),home-kitchen,Local Dispatch
Professional Bee Suit For Men Women Beekeeping Suit Beekeeper Suit Ventilated Hood Multi-Size Bee Outfit For Backyard And Bee Keeper,"KSh 3,549",(0),home-kitchen,Oversea Shipment
"Stainless Steel Leather/belt/watch hole punch pliers Revolving Punch 9"" add eyelets puncher ",KSh 745,(2),home-kitchen,Local Dispatch
Birdcage Flower Flying for Living Room Nursery Room Wall Stickers Vinyl Wall Decals Wall Home Decor color Wall Stickers,KSh 279,(109),home-kitchen,Fulfilled By Kilimall
10 PCS (balls) of Small Robin creative art yarns 10cms by 15cms,KSh 850,(0),home-kitchen,Local Dispatch
Ear Muffs Protection Protective Noise Reduction Earmuffs Hearing Hunting Protector Anti-shock,KSh 751,(8),home-kitchen,Local Dispatch
"Non-Toxic Mouse Rat Trap Sticky Glue Board, Buy 1 Get 1 Free",KSh 299,(4),home-kitchen,Local Dispatch
Kitchen & Dining room appliances Wooden Chapati Rolling Pin,KSh 280,(4),home-kitchen,Local Dispatch
Switch portable knife pocket knife with led light wooden handle tactical knife ,KSh 850,(2),home-kitchen,Local Dispatch
Pocket LED Selfie Light for IPhone Samsung IPad Mobile Phone Laptop Clip Ring Flash Fill Video Photo Ringlight Photography Lamp,KSh 899,(6),home-kitchen,Fulfilled By Kilimall
【Promotions】Jaza Keja 3 Tier Baby Clothes Drying Rack Laundry Drying Rack Folding Steamer Stand Garment Rack for Balcony Hanger Stand For Indoor Sun Clothes Airer,KSh 999,(7),home-kitchen,Fulfilled By Kilimall
SUNBELT 4*6 /170*215CM Light Duvet,KSh 699,(18),home-kitchen,Fulfilled By Kilimall
Maxi Ducha Ultra Instant Shower Head,"KSh 1,399",(146),home-kitchen,Local Dispatch
"3 Pairs of Premium Cleaning Gloves - Waterproof, enhanced grip, long-lasting, perfect for home cleaning kitchen dishwashing and laundry - a must-have cleaning accessory and Indispensable Cleaning Comp",KSh 299,(9),home-kitchen,Fulfilled By Kilimall
Upgrade Household Big Waterproof Quilt Bedding Storage Bags Clothes Blanket Organizers Bags Organization Bags,KSh 499,(544),home-kitchen,Fulfilled By Kilimall
Ice box/cooler box all sizes,"KSh 1,949",(0),home-kitchen,Local Dispatch
Cartoon themed towels big size 70cm by 140cm make bath time fun and enjoyable with these different prints of cartoon themed towels,KSh 599,(1),home-kitchen,Local Dispatch
2 Pairs Anti-bee Gloves Beekeeping Protective Gloves Artificial Leather Polyester Cotton Gloves Beekeeper Equipment,"KSh 1,999",(0),home-kitchen,Oversea Shipment
"Share this product
TOTAL HIGH PRESSURE HOSE FOR HIGH PRESSURE WASHERS 5 Meters For Pressure Washer","KSh 4,749",(0),home-kitchen,Local Dispatch
"Under The Door Space Sealer, Adjustable Silicone Rubber Door Bottom Seal Strip Weatherstrip",KSh 445,(1),home-kitchen,Local Dispatch
"✅ Silicone cleansing ice lattice, Ice Roller for Face Women, Silicone Facial Ice Roller, Massage Cube and Face Ice Mold for Brighten, Lubricate, Shrink Pores",KSh 708,(0),home-kitchen,Local Dispatch
Self Adhesive Double Pole Towel Holder Rack Bar,KSh 650,(1),home-kitchen,Local Dispatch
WHITE 1 KILO PEBBLE STONES FOR INDOOR POTS AND OUTDOOR  POTS AND GARDEN DECOR,KSh 450,(3),home-kitchen,Local Dispatch
SUNBELT 4*6 /170*215CM Light Duvet,KSh 699,(17),home-kitchen,Fulfilled By Kilimall
2 pc Baking Tin round for Baking - 10 Inch Glass Baking Dish - Clear and Durable Oven Baking Pie Pan Quiche Baking Dish Deep,"KSh 2,050",(1),home-kitchen,Local Dispatch
"[NEW ARRIVALS] HOMART D005 Toothbrush Holder Wall Mounted with Toothpaste Dispenser,Electric Toothbrush Holder with Colorful Mouthwash Cup and Multiple Toothbrush Slots (4 Cups)",KSh 999,(15),home-kitchen,Fulfilled By Kilimall
Kilimall Special offers!! Creative Nordic Succulent Plant Flower Pot Decorative Cactus Iron Ceramic Flowerpot Golden Container Home Office Furnishings,"KSh 1,711",(0),home-kitchen,Local Dispatch
Lava Insecticide For Bedbugs&cockroaches,KSh 620,(3),home-kitchen,Local Dispatch
Elegant 9x9x3.5 Inch Gift Box with Shredded Paper & Permanent Ribbon - Flip to Open,KSh 650,(0),home-kitchen,Local Dispatch
Metallic 2 layer dishrackHeavy carbon steel metal tier dish rack with cutlery & chopping board holders. Anti rust for kitchen utensils in an elegant all-black design. Practical and stylish addition to,"KSh 3,630",(2),home-kitchen,Local Dispatch
premium Epoxy resin and Hardener pack ratio 1.1 500ml,"KSh 1,699",(1),home-kitchen,Local Dispatch
Solar Light Indoor/Outdoor Emergency Lights Remote Control Waterproof Rechargeable for Garden Street Landscape Spotlight Wall Energy Powered Flood Lamp,"KSh 2,799",(55),home-kitchen,Fulfilled By Kilimall
decorating light NEELUX B22 LED Rotating Stage Light Disco Bulb RGB multi colour,KSh 401,(1),home-kitchen,Local Dispatch
Best Self Cleaning Flat Mop with Washable Pads Easy Squeeze Wet and Dry Mop 360 cleaning lightweight eco-friendly mop with two microfiber cloths,KSh 940,(0),home-kitchen,Local Dispatch
Living Room Bedroom Kitchen Decor Home Clocks Wall Clocks 8inch Silent Non Ticking Quartz Battery Operated Round Clock Easy to Read for Office Classroom School Home,KSh 599,(11),home-kitchen,Fulfilled By Kilimall
Executive 4 Sitter Dinning Table Set,"KSh 18,500",(1),home-kitchen,Local Dispatch
"Bath Towel medium, 70*140cm",KSh 499,(2),home-kitchen,Local Dispatch
"Non-perforated  Plastic Wall-Mounted StorageBasket,Toilet Storage Rack, Kitchen Storag Rack ,Bathroom Wall Shelf With Hooks,Self Adhesive No Drilling,Removable Plastic Shelf, bathroom organizer ",KSh 629,(0),home-kitchen,Fulfilled By Kilimall
1/2PCS Heavy Iron Adjustable Buckle Lock Clamp Box Buckle Clamp Door Bolt Type Quick Clamp Accessory Horizontal Clamp Catch Clas,KSh 699,(1),home-kitchen,Oversea Shipment
Kitchen Food Baking Digital Thermometer Electronic Probe Type Digital Display Liquid Grill Thermometer,KSh 498,(12),home-kitchen,Fulfilled By Kilimall
100PCS Transparent Flat Open Top Cake Tools Candy Bag OPP Cellophane Bag Lollipop Packing Cookies Packaging Wedding Party Gift Kitchen And Dining room appliances,KSh 419,(5),home-kitchen,Oversea Shipment
Hip Flask Pocket Alcohol Dranking Flask 9 OZ Stainless Steel Leak proof with Funnel Flask set (245ml Silver),KSh 399,(7),home-kitchen,Fulfilled By Kilimall
16Pcs/Set DIY Cake Icing Piping Cream Pastry Bag 14PCS Stainless Steel Nozzle Pastry Tips Cake Decorating Tool,KSh 329,(154),home-kitchen,Fulfilled By Kilimall
B22 To E27 Converter Pin To Screw Bulb Holder,KSh 249,(23),home-kitchen,Local Dispatch
Tropical leaves flowers bird wall stickers bedroom living room decoration mural Home Wall Decor,KSh 299,(114),home-kitchen,Fulfilled By Kilimall
"Electric Cordless Drill, 21V Impact Drill Driver Set  28pcs Accessories for Drilling Wood, Metal, Ceramics, Plastic EU plug","KSh 3,899",(76),home-kitchen,Fulfilled By Kilimall
【Special Offer】 VL-BCD00 Fridge Guard FK 13A Fridge Guard Electronics Blue Low Voltage Stabilizer Default Surge Protector Voltage Protector for Home Appliances High,KSh 499,(18),home-kitchen,Local Dispatch
【Promotion】 6pcs 350ML   High Quality Glass Cups  Juice Cup (JZB-12411-5 GLASS CUP C),KSh 499,(13),home-kitchen,Fulfilled By Kilimall
360 Spin Mop Rotating Bucket With Long Adjustable Mop,"KSh 1,699",(2),home-kitchen,Local Dispatch
Kenagro BEDLAM 200SL INSECTICIDE,KSh 575,(2),home-kitchen,Local Dispatch
Fashion Warm Soft 6X6 Fleece Throw Blanket,"KSh 1,130",(52),home-kitchen,Local Dispatch
New Knife Sharpeners 3 Stages Type Quick Sharpening Tool Knife Sharpener Handheld Multi-function Kitchen Knife Accessories Sharpening Stone,KSh 259,(106),home-kitchen,Fulfilled By Kilimall
Bathroom Shower Sink Bath Sealing Tape Strip White PVC Self Adhesive Waterproof Wall Sticker for Bathroom Kitchen Caulk Strip,KSh 299,(32),home-kitchen,Fulfilled By Kilimall
"New stock!! 
6pcs pvc  table mats plus one table runner(30*180cm) ","KSh 1,700",(0),home-kitchen,Local Dispatch
【Today's Deal】4pcs duvet Bedding Sets Comforter Set Bedding duvets Duvet (1pc Duvet & 1pcs Bed sheet & 2pcs Pillow covers ),"KSh 1,649",(921),home-kitchen,Local Dispatch
1 LITRE/1000ml CYLINDRICAL PANTRY GLASS AIRTIGHT STORAGE JARS(WHITE/GOLD LIDS),KSh 512,(17),home-kitchen,Local Dispatch
"Clothing Fragrance Bags Sachets - Blooming Bouquet - Home Storage Helper - Scented Sachet for Drawers Closets & Wardrobes for Clothes, Fragrance Deodorizer Odor Eliminator",KSh 989,(0),home-kitchen,Local Dispatch
"*New arrival*🎉🎊🎊🥳🥳 *19pcs heat resistant silicone cooking kitchen spoon set with knives and chop board now available *Available in 3 colours black,gray and gre","KSh 3,198",(0),home-kitchen,Local Dispatch
12PCS Mafen Cup Silicone Mold Baked Cake Mold Food Grade Muffin Cup Cake Cup Mold Wedding Birthday Cake Decoration Accessories,KSh 410,(17),home-kitchen,Local Dispatch
"Spa Manicure Table

","KSh 6,800",(0),home-kitchen,Local Dispatch
Beeming dual light high brightness electric pen Voltage Detector Electroprobe Voltage Detector Pen（Send 3 batteries） Circuit Tester Electric Alert Tester Volt Test Pen Plastic Handle Home Electr,KSh 299,(85),home-kitchen,Fulfilled By Kilimall
